uid,postid,score,viewcount
"437","309327","4",""
"437","311468","5",""
"437","340737","129",""
"437","344851","21","6811"
"437","350395","2",""
"437","368611","3",""
"437","372128","7",""
"437","372193","4",""
"437","414028","4",""
"437","446744","0",""
"437","577940","8","14771"
"437","578236","1",""
"437","580230","0",""
"437","583727","27",""
"437","584505","1",""
"437","585963","108",""
"437","590430","4",""
"437","595374","77","37661"
"437","602776","1",""
"437","606503","4",""
"437","608357","3","4790"
"437","615365","1",""
"437","615809","2",""
"437","617307","0",""
"437","644385","1",""
"437","677984","0",""
"437","690147","51","16137"
"437","702807","11",""
"437","709953","3",""
"437","714051","3",""
"437","715078","1",""
"437","727472","0",""
"437","727505","1",""
"437","737549","1",""
"437","749300","68",""
"437","770183","9",""
"437","773961","3",""
"437","779220","1",""
"437","786292","8",""
"437","808991","2","721"
"437","824998","11",""
"437","830782","12","6827"
"437","831751","0",""
"437","848980","3",""
"437","858468","12",""
"437","868625","2",""
"437","879144","0",""
"437","879440","3",""
"437","880542","1",""
"437","896039","4",""
"437","906992","4",""
"437","913450","2",""
"437","915618","11",""
"437","923936","4",""
"437","925674","7",""
"437","941964","2",""
"437","946154","8",""
"437","947195","47","22495"
"437","964650","5",""
"437","964753","1",""
"437","970725","6",""
"437","970839","2",""
"437","971058","37",""
"437","971281","0",""
"437","975278","35",""
"437","975991","1",""
"437","980910","102",""
"437","987527","10",""
"437","987981","0",""
"437","1002763","1",""
"437","1006650","119","38504"
"437","1028365","8",""
"437","1043587","13",""
"437","1063447","1",""
"437","1068757","3",""
"437","1071419","23",""
"437","1089219","6",""
"437","1104011","1",""
"437","1124913","3",""
"437","1125005","4",""
"437","1127845","1",""
"437","1131881","2",""
"437","1158953","8","1636"
"437","1166491","3",""
"437","1167970","10",""
"437","1168328","14",""
"437","1184584","1",""
"437","1190468","1",""
"437","1194225","1",""
"437","1206578","6",""
"437","1207474","0",""
"437","1208658","1",""
"437","1209463","1",""
"437","1212664","50",""
"437","1214284","3",""
"437","1224191","22",""
"437","1227670","17",""
"437","1228757","9",""
"437","1234493","3",""
"437","1239264","7",""
"437","1241297","4",""
"437","1246496","4",""
"437","1252760","3",""
"437","1252840","17",""
"437","1399457","1",""
"437","2210266","0",""
"437","2245888","1",""
"437","2252238","27","16853"
"437","2512909","4",""
"437","3056531","1",""
"437","3217587","8",""
"437","3380291","3","2033"
"437","3396894","3",""
"437","3409195","5",""
"437","3445591","78",""
"437","3623067","0",""
"437","4017832","4","746"
"437","4335400","7","4014"
"437","4585464","4",""
"437","4725603","128","29123"
"437","4831827","0",""
"437","4875556","2",""
"437","5105972","0","3175"
"437","7435886","1","508"
"437","7744896","0","185"
"437","9770766","8",""
"437","10175027","1",""
"437","10237611","2",""
"437","10506462","1",""
"437","10517058","0",""
"437","11594213","2",""
"437","12163993","0",""
"437","12523515","44",""
"437","14574448","3",""
"437","15281557","4",""
"437","15621422","2",""
"437","15764636","0",""
"437","15914529","4",""
"437","17200639","2",""
"437","17211603","1",""
"437","17220924","1","61"
"437","17224963","2",""
"437","17393035","0",""
"437","18433685","3",""
"437","18495694","2",""
"437","19181667","8",""
"437","22721848","2","72"
"437","24685667","0","53"
"437","25765339","1","312"
"437","25785312","1",""
"437","27367261","0","422"
"437","27382838","2",""
"437","27445142","1","110"
"437","27445170","0",""
"437","27445171","0",""
"437","28174947","2","89"
"437","28196648","0",""
"437","30175756","4","41"
"437","30175757","1",""
"437","31841999","0","70"
"437","31842000","0",""
"437","32916678","0",""
"437","3772","35",""
"437","168537","22",""
"437","175035","73",""
"437","338439","10",""
"437","424634","3",""
"437","165314","8","9108"
"437","517230","2",""
"437","517269","0",""
"437","592076","10","4055"
"437","2252242","62",""
"437","3452","247","307521"
"438","5107","4",""
"438","42894","0","2208"
"438","44899","1","340"
"438","46837","-1","556"
"438","46871","0",""
"438","46893","0",""
"438","50900","7","9450"
"438","50921","4",""
"438","69188","3","4393"
"438","80561","0","483"
"438","113086","8",""
"438","135933","1","505"
"438","159915","0",""
"438","202721","0",""
"438","203377","79","31029"
"438","206764","1","278"
"438","223666","0","412"
"438","238793","2","1060"
"438","242478","0","119"
"438","244419","2","1621"
"438","293597","4","1686"
"438","348837","2","5009"
"438","352234","7","626"
"438","429722","2","360"
"438","430587","0",""
"438","441618","3","1340"
"438","497030","4","2479"
"438","502775","3",""
"438","508876","0",""
"438","533869","0",""
"438","567179","0",""
"438","649593","10","2760"
"438","779644","15","5386"
"438","813835","0","864"
"438","813838","0",""
"438","923087","0",""
"438","942583","1","2154"
"438","1030118","0","1086"
"438","1089849","0","398"
"438","1219594","1","3450"
"438","1270815","0",""
"438","1280380","1",""
"438","1326828","0",""
"438","1376735","0",""
"438","1436077","12","6431"
"438","1451866","1",""
"438","1592611","2",""
"438","1633971","3","1874"
"438","1854352","10","1824"
"438","2441530","2","180"
"438","2474229","1","1600"
"438","2734271","0","79"
"438","2767750","3","2851"
"438","2909072","1","210"
"438","2917748","0",""
"438","2982629","7","665"
"438","3039364","0","135"
"438","3091145","0",""
"438","3184668","2","465"
"438","3184773","1",""
"438","3232405","0","125"
"438","3572044","1","2240"
"438","80434","19",""
"438","613146","22","11550"
"438","57844","14",""
"439","3027","10","1593"
"439","5029","2",""
"439","5194","7","3480"
"439","8062","7",""
"439","11238","21",""
"439","183859","7","6496"
"439","566492","4",""
"439","756587","2",""
"439","757609","0",""
"439","782069","0",""
"439","976824","2",""
"439","1103573","5","2925"
"439","1130896","1",""
"439","1229252","1",""
"439","1245304","3",""
"439","1245678","2",""
"439","1281032","8",""
"439","1346421","1",""
"439","1422485","3",""
"439","1455475","0",""
"439","3265082","2",""
"439","3292672","0",""
"439","3355157","3",""
"439","3389964","15",""
"439","10104","12",""
"440","293956","4","2988"
"440","294282","3",""
"440","22097503","0","55"
"441","2874","18","4019"
"441","40687","2",""
"441","40866","1",""
"441","143328","1",""
"441","143434","2",""
