Strike,Expiry,Type,Vol,Open_Int,Underlying_Price
80,10/21/2016,put,2,1774,96.69
80,1/20/2017,call,10,13884,96.69
80,1/20/2017,put,7,24364,96.69
80,6/16/2017,call,10,13,96.69
80,6/16/2017,put,3,56,96.69
80,1/19/2018,call,36,12863,96.69
80,1/19/2018,put,5,3880,96.69
81,2/5/2016,call,4,0,96.69
81,2/5/2016,put,16,171,96.69
81,2/19/2016,put,23,613,96.69
82,2/5/2016,put,4,338,96.69
82,2/12/2016,put,65,123,96.69
82,2/19/2016,call,6,0,96.69
82,2/19/2016,put,167,1094,96.69
83,2/5/2016,call,8,0,96.69
83,2/5/2016,put,3,639,96.69
83,2/12/2016,put,26,76,96.69
83,2/19/2016,call,281,0,96.69
83,2/19/2016,put,37,683,96.69
84,2/5/2016,call,1,0,96.69
84,2/5/2016,put,9,618,96.69
84,2/12/2016,put,70,97,96.69
84,2/19/2016,call,8,50,96.69
84,2/19/2016,put,36,493,96.69
85,2/5/2016,call,2,62,96.69
85,2/5/2016,put,599,3899,96.69
85,2/12/2016,call,49,6,96.69
85,2/12/2016,put,73,1446,96.69
85,2/19/2016,call,5970,224,96.69
85,2/19/2016,put,313,13389,96.69
85,2/26/2016,call,200,3,96.69
85,2/26/2016,put,4,490,96.69
85,3/4/2016,call,460,1,96.69
85,3/4/2016,put,2,590,96.69
85,3/11/2016,call,5,5,96.69
85,3/11/2016,put,1,153,96.69
85,3/18/2016,call,18,5637,96.69
85,3/18/2016,put,159,11408,96.69
85,4/15/2016,call,1,1091,96.69
85,4/15/2016,put,21,7755,96.69
85,5/20/2016,call,16,204,96.69
85,5/20/2016,put,12,4015,96.69
85,6/17/2016,call,2,638,96.69
85,6/17/2016,put,14,16964,96.69
85,7/15/2016,call,2,955,96.69
85,7/15/2016,put,1,2396,96.69
85,10/21/2016,call,30,545,96.69
85,10/21/2016,put,13,3384,96.69
85,1/20/2017,call,3,8027,96.69
85,1/20/2017,put,69,18584,96.69
85,6/16/2017,call,57,60,96.69
85,6/16/2017,put,7,17,96.69
85,1/19/2018,call,29,8715,96.69
85,1/19/2018,put,61,8755,96.69
85.5,2/5/2016,call,19,0,96.69
85.5,2/5/2016,put,210,466,96.69
85.5,2/12/2016,put,8,126,96.69
85.5,2/26/2016,put,10,41,96.69
85.5,3/4/2016,call,12,2,96.69
85.5,3/4/2016,put,1,32,96.69
85.5,3/11/2016,put,7,22,96.69
86,2/5/2016,call,50,0,96.69
86,2/5/2016,put,2,537,96.69
86,2/12/2016,call,6,0,96.69
86,2/12/2016,put,25,467,96.69
86,2/19/2016,call,18,75,96.69
86,2/19/2016,put,10,1313,96.69
86,2/26/2016,call,1,1,96.69
86,2/26/2016,put,30,84,96.69
86,3/4/2016,call,1,2,96.69
86,3/4/2016,put,6,42,96.69
86,3/11/2016,call,1,1,96.69
86,3/11/2016,put,3,35,96.69
86.5,2/5/2016,put,484,962,96.69
86.5,2/12/2016,put,43,312,96.69
86.5,2/26/2016,call,23,0,96.69
86.5,2/26/2016,put,8,46,96.69
86.5,3/4/2016,call,1,41,96.69
86.5,3/4/2016,put,6,39,96.69
86.5,3/11/2016,put,1,1,96.69
87,2/5/2016,call,2,0,96.69
87,2/5/2016,put,40,1781,96.69
87,2/12/2016,call,281,0,96.69
87,2/12/2016,put,25,240,96.69
87,2/19/2016,call,20,125,96.69
87,2/19/2016,put,12,4480,96.69
87,2/26/2016,call,8,9,96.69
87,2/26/2016,put,5,1849,96.69
87,3/4/2016,call,15,91,96.69
87,3/4/2016,put,21,135,96.69
87,3/11/2016,put,1,61,96.69
87.5,2/5/2016,call,4,0,96.69
87.5,2/5/2016,put,676,2003,96.69
87.5,2/12/2016,call,4,0,96.69
87.5,2/12/2016,put,60,489,96.69
87.5,2/26/2016,call,46,0,96.69
87.5,2/26/2016,put,27,112,96.69
87.5,3/4/2016,call,2,19,96.69
87.5,3/4/2016,put,17,34,96.69
87.5,3/11/2016,put,2,27,96.69
87.5,3/18/2016,call,65,2423,96.69
87.5,3/18/2016,put,109,4261,96.69
87.5,4/15/2016,call,33,204,96.69
87.5,4/15/2016,put,81,1682,96.69
87.5,5/20/2016,call,10,42,96.69
87.5,5/20/2016,put,8,5950,96.69
87.5,6/17/2016,call,50,194,96.69
87.5,6/17/2016,put,8,1098,96.69
87.5,7/15/2016,call,3,14,96.69
87.5,7/15/2016,put,1,1706,96.69
87.5,10/21/2016,call,11,23,96.69
87.5,10/21/2016,put,1,134,96.69
87.5,1/20/2017,call,16,763,96.69
87.5,1/20/2017,put,4,6222,96.69
87.5,6/16/2017,call,1,1,96.69
87.5,6/16/2017,put,5,4,96.69
87.5,1/19/2018,call,5,383,96.69
87.5,1/19/2018,put,4,88,96.69
88,2/5/2016,call,8,9,96.69
88,2/5/2016,put,8,1039,96.69
88,2/12/2016,call,8,0,96.69
88,2/12/2016,put,30,313,96.69
88,2/19/2016,call,3216,144,96.69
88,2/19/2016,put,133,2528,96.69
88,2/26/2016,call,10,130,96.69
88,2/26/2016,put,4,186,96.69
88,3/4/2016,call,1,29,96.69
88,3/4/2016,put,10,93,96.69
88,3/11/2016,put,38,104,96.69
88.5,2/5/2016,put,698,1809,96.69
88.5,2/12/2016,put,20,145,96.69
88.5,2/26/2016,call,29,96,96.69
88.5,2/26/2016,put,13,99,96.69
88.5,3/4/2016,call,2,13,96.69
88.5,3/4/2016,put,3,47,96.69
88.5,3/11/2016,put,19,19,96.69
89,2/5/2016,call,22,20,96.69
89,2/5/2016,put,566,2128,96.69
89,2/12/2016,call,4,0,96.69
89,2/12/2016,put,18,728,96.69
89,2/19/2016,call,3296,88,96.69
89,2/19/2016,put,91,1958,96.69
89,2/26/2016,call,6,218,96.69
89,2/26/2016,put,67,2843,96.69
89,3/4/2016,call,19,120,96.69
89,3/4/2016,put,1,122,96.69
89,3/11/2016,call,1,1,96.69
89,3/11/2016,put,45,103,96.69
89.5,2/5/2016,call,5,0,96.69
89.5,2/5/2016,put,292,1856,96.69
89.5,2/12/2016,call,10,0,96.69
89.5,2/12/2016,put,60,195,96.69
89.5,2/19/2016,call,1044,28,96.69
89.5,2/19/2016,put,15,1322,96.69
89.5,2/26/2016,call,86,151,96.69
89.5,2/26/2016,put,39,362,96.69
89.5,3/4/2016,call,1,50,96.69
89.5,3/4/2016,put,36,164,96.69
89.5,3/11/2016,call,1,1,96.69
89.5,3/11/2016,put,13,36,96.69
90,2/5/2016,call,160,203,96.69
90,2/5/2016,put,417,20727,96.69
90,2/12/2016,call,1022,69,96.69
90,2/12/2016,put,222,14053,96.69
90,2/19/2016,call,57,2006,96.69
90,2/19/2016,put,892,41567,96.69
90,2/26/2016,call,23,1372,96.69
90,2/26/2016,put,18,3130,96.69
90,3/4/2016,call,4,88,96.69
90,3/4/2016,put,111,5634,96.69
90,3/11/2016,call,1,22,96.69
90,3/11/2016,put,2,62,96.69
90,3/18/2016,call,85,6364,96.69
90,3/18/2016,put,865,31346,96.69
90,4/15/2016,call,12,3603,96.69
90,4/15/2016,put,46,11529,96.69
90,5/20/2016,call,5,1285,96.69
90,5/20/2016,put,129,7793,96.69
90,6/17/2016,call,13,1781,96.69
90,6/17/2016,put,49,8142,96.69
90,7/15/2016,call,25,1109,96.69
90,7/15/2016,put,9,4447,96.69
90,10/21/2016,call,13,738,96.69
90,10/21/2016,put,12,3650,96.69
90,1/20/2017,call,10,22871,96.69
90,1/20/2017,put,16,26859,96.69
90,6/16/2017,call,3,73,96.69
90,6/16/2017,put,10,611,96.69
90,1/19/2018,call,44,9619,96.69
90,1/19/2018,put,19,11518,96.69
90.5,2/5/2016,call,21,0,96.69
90.5,2/5/2016,put,231,1702,96.69
90.5,2/12/2016,call,33,0,96.69
90.5,2/12/2016,put,98,112,96.69
90.5,2/19/2016,call,12,1011,96.69
90.5,2/19/2016,put,13,2678,96.69
90.5,2/26/2016,call,1,54,96.69
90.5,2/26/2016,put,1,453,96.69
90.5,3/4/2016,call,40,19,96.69
90.5,3/4/2016,put,28,97,96.69
90.5,3/11/2016,call,5,5,96.69
